Date, Year of Study,Gender, Difficulty of sleep, Sleeping hours per day,Trouble,Rating of Sleep,Study Difficulty,Difficulty of fatigue,Missing of class,Impact,Habits of screen,Drinking habits of beverages,Physical Activity,Stress Level,Rating of Study
10/24/2024,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Average
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024,Second year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Second year,Male,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Good
10/24/2024,Graduate student,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,First year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Second year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Third year,Male,Every night,More than 8 hours,Every night,Good,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024,First year,Male,Every night,7-8 hours,Rarely (1-2 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Excellent
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Rarely (1-2 times a week),4-5 hours,Rarely (1-2 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Average
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Good
10/24/2024,First year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Never,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Good
10/24/2024,Second year,Male,Rarely (1-2 times a week),6-7 hours,Rarely (1-2 times a week),Poor,Often,Often,Sometimes (1-2 times a week),No impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Excellent
10/24/2024,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Every day,Often (5-6 times a week),High stress,Average
10/24/2024,Second year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Good
10/24/2024,Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024,Second year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Poor,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Second year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Rarely (1-2 times a month),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024,Third year,Male,Every night,More than 8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Average
10/24/2024,Third year,Female,Often (5-6 times a week),4-5 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Rarely,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Third year,Male,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Rarely,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/24/2024,Third year,Female,Sometimes (3-4 times a week),Less than 4 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/24/2024,Second year,Female,Every night,More than 8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/24/2024,Third year,Female,Every night,More than 8 hours,Every night,Average,Often,Often,Always,Major impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Moderate impact,Every night,Every day,Every day,High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor
10/24/2024,Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Always,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Male,Never,4-5 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Major impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Male,Every night,7-8 hours,Rarely (1-2 times a week),Very good,Sometimes,Often,Often (3-4 times a week),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Average,Rarely,Sometimes,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/24/2024,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024,Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Always,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average
10/24/2024,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024,Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),No stress,Poor
10/24/2024,Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Never,High stress,Below Average
10/24/2024,First year,Female,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),No stress,Poor
10/24/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Poor
10/24/2024,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Always,Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024,Graduate student,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/24/2024,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),No stress,Poor
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Average,Never,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Average
10/24/2024,Graduate student,Male,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,First year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Never,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024,Graduate student,Male,Rarely (1-2 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor
10/24/2024,Graduate student,Female,Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),Extremely high stress,Poor
10/24/2024,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Graduate student,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Rarely,Rarely (1-2 times a month),Severe impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),No stress,Below Average
10/24/2024,Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Rarely,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Good
10/24/2024,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor
10/24/2024,Third year,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Graduate student,Female,Every night,7-8 hours,Every night,Average,Always,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Low stress,Poor
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/24/2024,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/24/2024,Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Often,Sometimes (1-2 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
